更新时间,#genre#
CCTV8,http://139.214.176.166:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://139.214.176.166:9901/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://139.214.176.166:9901/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://139.214.176.166:9901/tsfile/live/1060_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://139.214.176.166:9901/tsfile/live/1062_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://139.214.176.166:9901/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://139.214.176.166:9901/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://139.214.176.166:9901/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://139.214.176.166:9901/tsfile/live/1061_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://139.214.176.166:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://139.214.176.166:9901/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://139.214.176.166:9901/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://139.214.176.166:9901/tsfile/live/1069_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://139.214.176.166:9901/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://139.214.176.166:9901/tsfile/live/1071_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://139.214.176.166:9901/tsfile/live/1072_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://139.214.176.166:9901/tsfile/live/1073_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://139.214.176.166:9901/tsfile/live/1074_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://139.214.176.166:9901/tsfile/live/1075_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://139.214.176.166:9901/tsfile/live/1076_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://139.214.176.166:9901/tsfile/live/1077_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://139.214.176.166:9901/tsfile/live/1078_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://139.214.176.166:9901/tsfile/live/1079_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://139.214.176.166:9901/tsfile/live/1080_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://139.214.176.166:9901/tsfile/live/1081_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://139.214.176.166:9901/tsfile/live/1082_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://139.214.176.166:9901/tsfile/live/1083_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://139.214.176.166:9901/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://139.214.176.166:9901/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://139.214.176.166:9901/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://139.214.176.166:9901/tsfile/live/1087_1.m3u8?key=txiptv&playlive=1&authid=0
